url,title,price,address,type,cuisine
https://www.hungrygowhere.com/singapore/al_forno_east_coast/,Al Forno (East Coast),$$$,"400 East Coast Road, 428996",Restaurant,European • Italian • Pizza • Steak and Grills • Western
https://www.hungrygowhere.com/singapore/escape-restaurant-lounge-little-india/,"Escape Restaurant & Lounge - Promotions, Reviews, Price",$$,"Lobby Level One Farrer Hotel, 1 Farrer Park Station Road, 217562",Restaurant,International • Local
https://www.hungrygowhere.com/singapore/yummy-punjaby-bukit-merah-redhill-alexandra/,IJ's Yummy Punjaby,$,"#01-07 Alexandra Central, 321 Alexandra Road, 159971",Restaurant,Asian • Indian • North Indian
https://www.hungrygowhere.com/singapore/jai_thai_clover_way/,Jai Thai (Clover Way),$,"7 Clover Way, 579080",Restaurant,Asian • Thai
https://www.hungrygowhere.com/singapore/555-villa-thai-changi-north-changi-coast/,555 Villa Thai,$$,"30 Cosford Road, 499550",Restaurant,Steamboat • Thai
https://www.hungrygowhere.com/singapore/makan-jen-orchard-river-valley/,Makan@Jen,$$$,"#10-01 Hotel Jen Orchardgateway Singapore, 277 Orchard Road, 238858",Restaurant,International • Local
https://www.hungrygowhere.com/singapore/icehaus-alley-on-25/,Icehaus @ Alley on 25,,"Level 25 Andaz Singapore, 5 Fraser Street, 189354",Restaurant,International
https://www.hungrygowhere.com/singapore/dian-xiao-er-serangoon/,Dian Xiao Er (Nex),$$,"#02-09/10 Nex, 23 Serangoon Central, 556083",Restaurant,Asian • Chinese
https://www.hungrygowhere.com/singapore/the-peranakan-orchard-river-valley/,The Peranakan,$$$,"#02-01/17 Claymore Connect Mall, 442 Orchard Road, 238879",Restaurant,Nonya / Peranakan
https://www.hungrygowhere.com/singapore/keyaki_pan_pacific_singapore/,Keyaki Japanese Restaurant,$$$$,"Level 4 Pan Pacific Hotel Singapore, 7 Raffles Boulevard, 039595",Restaurant,Asian • Japanese
https://www.hungrygowhere.com/singapore/muk-bang-korean-restaurant/,Muk-Bang Korean Restaurant,$,"#01-02 Viva Business Park, 750 Chai Chee Road, 469000",Restaurant,Halal • Korean
https://www.hungrygowhere.com/singapore/g-day-bistro-clementi-west-coast/,G'day Bistro,$,"#01-129 Clementi Avenue 2 Shopping Centre, 352 Clementi Avenue 2, 120352",Cafe,Fusion • Western
https://www.hungrygowhere.com/singapore/cafe_2000/,Cafe 2000,$$$,"GF M Hotel, 81 Anson Road, 079908",Restaurant,Asian • Western
https://www.hungrygowhere.com/singapore/happenstance-cafe-balestier-whampoa-boon-keng/,Happenstance Cafe,$$,"35 Opal Crescent, 328425",Cafe,European • Western
https://www.hungrygowhere.com/singapore/beach-road-kitchen-bugis/,Beach Road Kitchen,$$$$,"(Access via Nicoll Highway) JW Marriott Hotel Singapore South Beach, 30 Beach Road, 189763",Restaurant,International • Local • Seafood
https://www.hungrygowhere.com/singapore/redpan-suntec-city-hall/,Redpan,$$,"#02-03/04 Marina Square, 6 Raffles Boulevard, 039594",Restaurant,Asian • Fusion • Singaporean
https://www.hungrygowhere.com/singapore/hai_tien_lo/,Hai Tien Lo,$$$$,"#03-00 Pan Pacific Hotel Singapore, 7 Raffles Boulevard, 039595",Restaurant,Asian • Cantonese • Chinese • Dim Sum
https://www.hungrygowhere.com/singapore/don-quijote-spanish-restaurant-dempsey-tanglin/,Don Quijote (Dempsey),$$$$,"#01-02, 7 Dempsey Road, 249671",Bar or Pub,European • Mediterranean • Spanish • Western • Wine
https://www.hungrygowhere.com/singapore/shabusai-orchard-river-valley/,Shabu Sai (Orchard Central),$$,"#08-09/10/11 Orchard Central, 181 Orchard Road, 238896",Restaurant,Asian • Fusion • Japanese
https://www.hungrygowhere.com/singapore/tcc-the-connoisseur-concerto-bugis/,TCC - The Connoisseur Concerto (Bugis Junction - Main Boutique),$,"#01-92/93/94/95/96 Intercontinental Singapore, 80 Middle Road, 188966",Cafe,American • Desserts • Western
https://www.hungrygowhere.com/singapore/Mikuni/,Mikuni,$$$$,"Level 3 Fairmont Singapore, 80 Bras Basah Road, 189560",Restaurant,Asian • Japanese
https://www.hungrygowhere.com/singapore/xiangtianxia-hotpot/,Spice World Hot Pot,$$$,"#01-06/07, 3B River Valley Road, 179021",Restaurant,Chinese • Steamboat
https://www.hungrygowhere.com/singapore/3-crab-delicacy-seafood-restaurant-sengkang-hougang-buangkok-/,3 Crab Delicacy Seafood Restaurant (Upper Serangoon),$$,"21 Teck Chye Terrace, 545726",Restaurant,Chinese • Seafood • Singaporean • Teochew
https://www.hungrygowhere.com/singapore/the-ramen-stall-bugis-beach-road/,The Ramen Stall,$,"Kampong Glam Conservation Area, 787 North Bridge Road, 198755",Restaurant,Asian • Halal • Japanese
https://www.hungrygowhere.com/singapore/mezza9/,mezza9,$$$$,"Mezzanine level Grand Hyatt, 10 Scotts Road, 228211",Restaurant,International
https://www.hungrygowhere.com/singapore/cafe_2000/,Cafe 2000,$$$,"GF M Hotel, 81 Anson Road, 079908",Restaurant,Asian • Western
https://www.hungrygowhere.com/singapore/ichida-japanese-dining/,Ichida Japanese Dining,$$$$,"Level 1 & Level 2, 82 Club Street, 069450",Restaurant,Japanese
https://www.hungrygowhere.com/singapore/capri_trattoria_pizzeria/,Capri Trattoria & Pizzeria,$$$,"3 Binjai Park, 589819",Bar or Pub,Beer • European • Italian • Western • Wine
https://www.hungrygowhere.com/singapore/peach_blossoms/,Peach Blossoms,$$$,"#05-00 Marina Mandarin, 6 Raffles Boulevard, 039594",Restaurant,Asian • Cantonese • Chinese
https://www.hungrygowhere.com/singapore/yummy-punjaby-bukit-merah-redhill-alexandra/,IJ's Yummy Punjaby,$,"#01-07 Alexandra Central, 321 Alexandra Road, 159971",Restaurant,Asian • Indian • North Indian
https://www.hungrygowhere.com/singapore/beast-butterflies-orchard-river-valley/,Beast & Butterflies,$$$,"Robertson Quay M Social Singapore, 90 Robertson Quay, 238259",Restaurant,Fusion • Western
